ID	category	collection_year_factor	country	state	crop	inferred_sex	CYP337b3	filter1	ARM_anc	AH	material	DNA_extraction_concentration	library_concentration	number_bases_passing_Q20	percent_mapped	chr24_inversion_genotype	chr26_inversion_genotype	chr21_inversion_genotype	filter1
CAM046087	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	female	NA	Yes	0.990401024	0.016198676	adult	NA	NA	1251086123	91.67	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046089	Brazilian_helicoverpa	2017	Brazil	Roraima	soybean_cotton	female	NA	Yes	0.978598024	0.035841498	adult	NA	NA	2901420786	94.25	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046091	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.045796944	0.084126906	adult	NA	NA	1363781938	89.74	NA	NA	NA	N
CAM046092	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	male	NA	No	0.979864164	0.034607147	adult	NA	NA	1407741086	92.01	NA	NA	NA	N
CAM046093	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.980792959	0.032294152	adult	NA	NA	1208299466	92.36	NA	NA	NA	N
CAM046096	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.983325219	0.02721519	adult	NA	NA	3588476378	95.12	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046097	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	No	0.981791514	0.030312907	adult	NA	NA	800375584	92.7	NA	NA	NA	N
CAM046098	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.062432448	0.119983729	adult	NA	NA	2226523238	93.78	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046101	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.039802733	0.075647416	adult	NA	NA	2702351186	94.41	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046105	Brazilian_helicoverpa	2015	Brazil	Rio Grande do Sul	soybean_wheat	female	NA	Yes	0.986160005	0.02482348	adult	NA	NA	2803722143	94.43	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
