ID	category	collection_year_factor	country	state	crop	inferred_sex	CYP337b3	filter1	ARM_anc	AH	material	DNA_extraction_concentration	library_concentration	number_bases_passing_Q20	percent_mapped	chr24_inversion_genotype	chr26_inversion_genotype	chr21_inversion_genotype	filter1
CAM046329	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.079457549	0.125413046	adult	NA	NA	1195340211	90.76	NA	NA	NA	N
CAM046330	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	female	Present	Yes	0.978636815	0.036302767	adult	NA	NA	2211200072	92.17	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046331	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	male	Present	Yes	0.99038602	0.016385143	adult	NA	NA	3766836991	95.2	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046334	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	female	Present	Yes	0.975861435	0.044698897	adult	NA	NA	6307010437	94.92	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046335	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	male	NA	Yes	0.967881123	0.052350028	adult	NA	NA	1962140321	35.67	ARM2/ARM2	ZEA/ARM1	ARM1/ARM1	Y
CAM046336	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	female	Present	Yes	0.98479877	0.027052705	adult	NA	NA	3117524330	93.2	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046337	Brazilian_helicoverpa	NA	Brazil	NA	mixed	female	Present	Yes	0.601103698	0.735461745	adult	NA	NA	1852577960	94.05	ZEA/ARM2	ZEA_ARM_recombinant	ZEA_ARM_recombinant	Y
CAM046339	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	male	Present	Yes	0.983467888	0.029471773	adult	NA	NA	3430162983	94.54	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046340	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	male	NA	No	0.785041563	0.403077467	adult	NA	NA	1115377507	78.11	NA	NA	NA	N
CAM046343	Brazilian_helicoverpa	2012	Brazil	Goias	mixed	female	NA	Yes	0.977107851	0.041572626	adult	NA	NA	2607588715	92.07	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046346	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	female	NA	Yes	0.971701952	0.052410251	adult	NA	NA	4287670343	94.88	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046347	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	NA	No	0.98512606	0.023827757	adult	NA	NA	1384745793	94.43	NA	NA	NA	N
CAM046348	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	female	NA	No	0.983044655	0.028010825	adult	NA	NA	1494832851	92.12	NA	NA	NA	N
CAM046349	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	Present	Yes	0.979085593	0.036969547	adult	NA	NA	2479997667	94.57	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046350	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	NA	No	0.97217778	0.044092524	adult	NA	NA	965548794	42.44	NA	NA	NA	N
CAM046360	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	Present	No	0.982956533	0.028222515	adult	NA	NA	1315581180	47.5	NA	NA	NA	N
CAM046362	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	female	Heterozygous/Uncertain	Yes	0.96984863	0.054525104	adult	NA	NA	2494316221	94.43	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046365	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	NA	Yes	0.971304154	0.053119599	adult	NA	NA	4334404709	94.75	ARM2/ARM2	ZEA/ARM2	ARM1/ARM2	Y
CAM046366	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	NA	Yes	0.971394592	0.051929518	adult	NA	NA	4103097845	95.17	ARM2/ARM2	ARM1/ARM1	ARM1/ARM2	Y
CAM046367	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	male	NA	Yes	0.970389313	0.052270416	adult	NA	NA	3142192428	94.96	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046369	Brazilian_helicoverpa	2013	Brazil	Goias	mixed	female	NA	Yes	0.022228452	0.039517249	adult	NA	NA	1705483312	93.13	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046370	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	female	NA	Yes	0.982393431	0.030284361	adult	NA	NA	2751558287	94.65	ARM2/ARM2	ARM1/ARM2	ARM2/ARM2	Y
CAM046371	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.975206814	0.04549415	adult	NA	NA	4019320762	95.16	ZEA/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046372	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.985622461	0.024265519	adult	NA	NA	2225884744	95.45	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046375	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.984947881	0.026887889	adult	NA	NA	3208665759	95.21	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046377	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	female	NA	Yes	0.980490237	0.034413268	adult	NA	NA	2409251796	94.79	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046381	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	female	NA	Yes	0.987462678	0.022128153	adult	NA	NA	3074647775	94.55	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046382	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.974359938	0.039734203	adult	NA	NA	1348908883	92.86	NA	NA	NA	N
CAM046383	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.978981465	0.034977631	adult	NA	NA	1377200946	93.16	NA	NA	NA	N
CAM046384	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.980132352	0.033713894	adult	NA	NA	821442985	93.13	NA	NA	NA	N
CAM046390	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.984098997	0.027280496	adult	NA	NA	2234781537	93.73	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046391	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.97718088	0.036315107	adult	NA	NA	1151394311	95.04	NA	NA	NA	N
CAM046392	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	female	NA	Yes	0.971129839	0.052885042	adult	NA	NA	3549572287	94.98	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046394	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.987263872	0.019847982	adult	NA	NA	1076054812	95.25	NA	NA	NA	N
CAM046395	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.990276018	0.014103906	adult	NA	NA	880225386	95.33	NA	NA	NA	N
CAM046397	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.983528717	0.026490367	adult	NA	NA	1420083385	94.38	NA	NA	NA	N
CAM046399	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	female	NA	No	0.978961484	0.034349526	adult	NA	NA	1317418464	94.7	NA	NA	NA	N
CAM046401	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	No	0.982873175	0.024820986	adult	NA	NA	748275352	95.33	NA	NA	NA	N
CAM046402	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	female	NA	No	0.986777692	0.020991479	adult	NA	NA	1343474188	94.48	NA	NA	NA	N
CAM046404	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.98505844	0.025477635	adult	NA	NA	1987835436	95.37	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046405	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.982612518	0.030849748	adult	NA	NA	2545118571	95.39	ARM2/ARM2	ARM1/ARM2	ARM2/ARM2	Y
CAM046407	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.978443024	0.038939379	adult	NA	NA	2922886990	94.88	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046409	Brazilian_helicoverpa	2014	Brazil	Goias	mixed	male	NA	Yes	0.973119969	0.046036753	adult	NA	NA	2141548187	95.17	ARM2/ARM2	ARM1/ARM1	ARM1/ARM2	Y
CAM046410	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	Yes	0.97646871	0.039208174	adult	NA	NA	2208887170	95.17	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046415	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	Yes	0.970983969	0.052516743	adult	NA	NA	2790940716	94.92	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046417	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	Yes	0.964435295	0.064135407	adult	NA	NA	2780603668	95.16	ARM2/ARM2	ZEA/ARM1	ARM2/ARM2	Y
CAM046418	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	Yes	0.978562735	0.037265174	adult	NA	NA	2446754594	93.2	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046419	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	Yes	0.98538448	0.02570798	adult	NA	NA	2761235197	94.86	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046421	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	No	0.987586025	0.019756989	adult	NA	NA	777917255	94.99	NA	NA	NA	N
CAM046423	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	female	NA	No	0.085411431	0.14968748	adult	NA	NA	605748625	91.41	NA	NA	NA	N
CAM046424	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	female	NA	Yes	0.042218199	0.082596308	adult	NA	NA	3664601958	93.11	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046427	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	Yes	0.980229692	0.035380521	adult	NA	NA	3058627154	94.88	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046428	Brazilian_helicoverpa	2015	Brazil	Goias	mixed	male	NA	No	0.941423238	0.11257711	adult	NA	NA	1627173910	72.84	NA	NA	NA	N
CAM046434	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	NA	No	0.979545371	0.032606708	adult	NA	NA	1251005430	93.7	NA	NA	NA	N
CAM046436	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	NA	Yes	0.966680491	0.058814958	adult	NA	NA	2195103859	94.64	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046437	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	NA	Yes	0.988133546	0.020372302	adult	NA	NA	2356035242	94.51	ARM2/ARM2	ARM1/ARM1	ARM1/ARM2	Y
CAM046440	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	NA	Yes	0.986243867	0.023811538	adult	NA	NA	2510265603	94.32	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046444	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	NA	Yes	0.980613468	0.035225202	adult	NA	NA	3736526379	95.45	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046450	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	male	Present	No	0.976935244	0.039221383	adult	NA	NA	813378213	95.23	NA	NA	NA	N
CAM046451	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	male	Heterozygous/Uncertain	No	0.056761286	0.095277495	adult	NA	NA	1141673494	90.77	NA	NA	NA	N
CAM046454	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	female	NA	No	0.070472251	0.096891124	adult	NA	NA	1514287418	89.01	NA	NA	NA	N
CAM046456	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	female	Absent	No	0.019742249	0.033504118	adult	NA	NA	1319425937	93.52	NA	NA	NA	N
CAM046458	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	female	Present	No	0.08331458	0.114219988	adult	NA	NA	1014249359	91.42	NA	NA	NA	N
CAM046459	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	female	Heterozygous/Uncertain	No	0.083271871	0.142371107	adult	NA	NA	1043657044	91.76	NA	NA	NA	N
CAM046460	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	Absent	No	0.080944486	0.145951439	adult	NA	NA	679012451	91.67	NA	NA	NA	N
CAM046462	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	female	Heterozygous/Uncertain	Yes	0.054442831	0.087206232	adult	NA	NA	1668788573	88.11	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046463	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	female	NA	Yes	0.027182125	0.048420505	adult	NA	NA	3355866845	93.52	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046464	Brazilian_helicoverpa	2016	Brazil	Goias	mixed	male	NA	No	0.069918082	0.099475356	adult	NA	NA	1066130758	90.52	NA	NA	NA	N
CAM046468	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	female	NA	No	0.989005831	0.01840421	adult	NA	NA	869588610	91.87	NA	NA	NA	N
CAM046471	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	male	NA	Yes	0.039368384	0.066755845	adult	NA	NA	2137219146	93.28	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046473	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	male	Present	Yes	0.9802011	0.035844453	adult	NA	NA	3014546009	95.37	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046476	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	male	NA	Yes	0.058172204	0.069199054	adult	NA	NA	2207807812	93.54	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046478	Brazilian_helicoverpa	2017	Brazil	Goias	mixed	male	Absent	Yes	0.974478376	0.047228386	adult	NA	NA	3712618776	92	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046479	Brazilian_helicoverpa	NA	Brazil	NA	mixed	female	Absent	Yes	0.978241629	0.039038174	adult	NA	NA	2130514093	92.03	ARM2/ARM2	ARM1/ARM2	ZEA/ARM1	Y
CAM046480	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	male	NA	No	0.981799754	0.030861907	adult	NA	NA	849406832	93.02	NA	NA	NA	N
CAM046482	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	Present	No	0.05694213	0.105703681	adult	NA	NA	1227495877	90.91	NA	NA	NA	N
CAM046483	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	NA	No	0.058393883	0.10864686	adult	NA	NA	1230082660	89.93	NA	NA	NA	N
CAM046484	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	NA	Yes	0.970850002	0.051962062	adult	NA	NA	1902234298	91.81	ARM2/ARM2	ARM1/ARM1	ZEA/ARM1	Y
CAM046486	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	Present	Yes	0.988082043	0.020460741	adult	NA	NA	2707000200	92.23	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046487	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	male	Heterozygous/Uncertain	Yes	0.960843743	0.062876945	adult	NA	NA	2477175935	91.36	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046488	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	male	Present	Yes	0.966817496	0.061337355	adult	NA	NA	2613544766	91.18	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046489	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	Present	No	0.978731841	0.03536282	adult	NA	NA	1183608026	44.71	NA	NA	NA	N
CAM046492	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	male	Heterozygous/Uncertain	Yes	0.970639972	0.054174243	adult	NA	NA	3002748782	91.85	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046493	Brazilian_helicoverpa	2013	Brazil	Bahia	soybean	female	NA	Yes	0.990025655	0.016749095	adult	NA	NA	4128547755	86.07	ARM2/ARM2	ARM2/ARM2	ARM2/ARM2	Y
CAM046494	Brazilian_helicoverpa	2013	Brazil	Bahia	soybean	male	Present	No	0.962437101	0.064202872	adult	NA	NA	1308550035	92.33	NA	NA	NA	N
CAM046496	Brazilian_helicoverpa	2013	Brazil	Bahia	soybean	female	Heterozygous/Uncertain	Yes	0.529621819	0.811317457	adult	NA	NA	1964607916	90.3	ZEA/ARM2	ZEA/ARM2	ZEA/ARM1	Y
CAM046498	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	NA	No	0.973989675	0.043997238	adult	NA	NA	767188171	89.93	NA	NA	NA	N
CAM046499	Brazilian_helicoverpa	NA	Brazil	NA	cotton	female	Heterozygous/Uncertain	Yes	0.985637484	0.024973277	adult	NA	NA	2210982671	92.22	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046500	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	Present	Yes	0.975247885	0.043683871	adult	NA	NA	2278123954	90.17	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046501	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	NA	Yes	0.972254306	0.05099074	adult	NA	NA	2745052167	91.29	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046502	Brazilian_helicoverpa	2013	Brazil	Bahia	cotton	female	Present	Yes	0.981335168	0.033586582	adult	NA	NA	2554721576	87.18	ARM2/ARM2	ARM1/ARM1	ARM1/ARM2	Y
CAM046507	Brazilian_helicoverpa	2012_2013	Brazil	Bahia	unknown	female	NA	Yes	0.985213249	0.026033432	adult	NA	NA	2685177504	94.14	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046508	Brazilian_helicoverpa	2012_2013	Brazil	Bahia	unknown	female	NA	Yes	0.977316723	0.039604637	adult	NA	NA	1948432548	92.88	ARM2/ARM2	ARM1/ARM2	ARM2/ARM2	Y
CAM046510	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	female	NA	Yes	0.974273142	0.044748284	adult	NA	NA	2482141658	93.61	ARM2/ARM2	ZEA/ARM1	ARM1/ARM2	Y
CAM046512	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	female	NA	No	0.989082526	0.018490153	adult	NA	NA	1455994544	91.76	NA	NA	NA	N
CAM046517	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	female	NA	No	0.974445558	0.044573221	adult	NA	NA	658730160	81.65	NA	NA	NA	N
CAM046518	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	female	NA	No	0.97400369	0.043991102	adult	NA	NA	1211987397	87.52	NA	NA	NA	N
CAM046520	Brazilian_helicoverpa	2014	Brazil	Bahia	soybean	male	NA	Yes	0.989376659	0.017766198	adult	NA	NA	3140137136	94.92	ARM2/ARM2	ARM2/ARM2	ARM2/ARM2	Y
CAM046521	Brazilian_helicoverpa	2014	Brazil	Bahia	soybean	female	NA	Yes	0.974348284	0.045049459	adult	NA	NA	2682072354	94.77	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046523	Brazilian_helicoverpa	2014	Brazil	Bahia	soybean	male	NA	No	0.979290613	0.030337436	adult	NA	NA	652618937	95.59	NA	NA	NA	N
CAM046526	Brazilian_helicoverpa	2014	Brazil	Bahia	soybean	cant.be.det	NA	No	0.958557817	0.080761167	adult	NA	NA	903750909	59.43	NA	NA	NA	N
CAM046529	Brazilian_helicoverpa	2014	Brazil	Bahia	soybean	male	NA	No	0.932997776	0.130297154	adult	NA	NA	883079021	57.9	NA	NA	NA	N
CAM046532	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	cant.be.det	NA	Yes	0.985392046	0.026906265	adult	NA	NA	2401280506	94.74	ARM2/ARM2	ARM2/ARM2	ARM_ARM_recombinant	Y
CAM046534	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	male	NA	Yes	0.98549224	0.025172862	adult	NA	NA	2231612495	91.99	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046535	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	female	NA	No	0.976182766	0.039150287	adult	NA	NA	874239104	86.39	NA	NA	NA	N
CAM046536	Brazilian_helicoverpa	2014	Brazil	Bahia	cotton	male	NA	Yes	0.974856183	0.044183223	adult	NA	NA	2357493638	94.49	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046545	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	Yes	0.991100587	0.014988485	adult	NA	NA	1717946627	89.91	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046546	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	cant.be.det	NA	No	0.972280996	0.053509947	adult	NA	NA	1664590620	79.09	NA	NA	NA	N
CAM046547	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.976030921	0.039404663	adult	NA	NA	902628453	94.89	NA	NA	NA	N
CAM046549	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.986670779	0.02247807	adult	NA	NA	742203798	93.33	NA	NA	NA	N
CAM046552	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	No	0.99063696	0.012575178	adult	NA	NA	738562533	95.1	NA	NA	NA	N
CAM046553	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	No	0.990845768	0.0135837	adult	NA	NA	1199498361	95.26	NA	NA	NA	N
CAM046554	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.990474129	0.01407231	adult	NA	NA	983662988	94.09	NA	NA	NA	N
CAM046557	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.977699233	0.036048351	adult	NA	NA	1139355268	84.78	NA	NA	NA	N
CAM046558	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	No	0.978031108	0.035204328	adult	NA	NA	1147524770	87.12	NA	NA	NA	N
CAM046560	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	Yes	0.985285574	0.024736325	adult	NA	NA	2008028370	94.04	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046561	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.989319836	0.015766546	adult	NA	NA	906002680	94.34	NA	NA	NA	N
CAM046562	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	Yes	0.983411663	0.02938108	adult	NA	NA	3038172386	95.33	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046565	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	Yes	0.978342813	0.039729067	adult	NA	NA	5409729853	95.07	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046566	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.336268724	0.598892419	adult	NA	NA	1402532984	94.06	NA	NA	NA	N
CAM046567	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	male	NA	No	0.980422687	0.033613445	adult	NA	NA	953060944	93.25	NA	NA	NA	N
CAM046568	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	Yes	0.988744864	0.018857812	adult	NA	NA	3078365909	94.24	ARM2/ARM2	ARM2/ARM2	ARM1/ARM1	Y
CAM046569	Brazilian_helicoverpa	2015	Brazil	Bahia	cotton	female	NA	No	0.982446558	0.028687147	adult	NA	NA	1193076216	94.29	NA	NA	NA	N
CAM046570	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	male	NA	No	0.991183151	0.013011078	adult	NA	NA	1115609658	87	NA	NA	NA	N
CAM046573	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	female	NA	Yes	0.188620386	0.369689747	adult	NA	NA	3373606756	93.26	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046574	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	female	NA	Yes	0.627703899	0.719654392	adult	NA	NA	3236685851	92.57	ZEA/ARM2	ZEA_ARM_recombinant	ZEA/ARM1	Y
CAM046575	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	female	NA	No	0.970532298	0.053390161	adult	NA	NA	1046632532	88.44	NA	NA	NA	N
CAM046576	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	female	NA	No	0.944616386	0.106831095	adult	NA	NA	1530622961	86.01	NA	NA	NA	N
CAM046580	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	male	NA	Yes	0.990507034	0.016429948	adult	NA	NA	9926130175	91.47	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046586	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	male	NA	Yes	0.979753278	0.031672114	adult	NA	NA	3477335788	95.13	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046588	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	female	NA	No	0.979815658	0.034634395	adult	NA	NA	1282921840	91.53	NA	NA	NA	N
CAM046590	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	male	NA	Yes	0.972806094	0.047337978	adult	NA	NA	1948646730	85.77	ARM2/ARM2	ARM2/ARM2	ZEA/ARM1	Y
CAM046592	Brazilian_helicoverpa	2015	Brazil	Bahia	soybean	male	NA	No	0.981100504	0.030889996	adult	NA	NA	1417814768	83.63	NA	NA	NA	N
CAM046594	Brazilian_helicoverpa	2016	Brazil	Bahia	soybean	female	NA	No	0.984990619	0.024802087	adult	NA	NA	1403829413	92.6	NA	NA	NA	N
CAM046596	Brazilian_helicoverpa	2016	Brazil	Bahia	soybean	female	NA	No	0.983026441	0.026900334	adult	NA	NA	815986089	94.88	NA	NA	NA	N
CAM046597	Brazilian_helicoverpa	2016	Brazil	Bahia	soybean	female	NA	Yes	0.976305932	0.042993893	adult	NA	NA	5259611210	94.79	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046598	Brazilian_helicoverpa	2016	Brazil	Bahia	soybean	female	NA	Yes	0.967705362	0.05823589	adult	NA	NA	2468925556	93.27	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046600	Brazilian_helicoverpa	2016	Brazil	Bahia	mixed	female	NA	Yes	0.983183788	0.029662562	adult	NA	NA	2901026207	94.38	ARM2/ARM2	ARM1/ARM2	ARM2/ARM2	Y
CAM046601	Brazilian_helicoverpa	2016	Brazil	Bahia	soybean	male	NA	No	0.979061561	0.035052929	adult	NA	NA	830554357	91.84	NA	NA	NA	N
CAM046602	Brazilian_helicoverpa	2016	Brazil	Bahia	soybean	female	NA	No	0.025404553	0.041483818	adult	NA	NA	839239121	94.01	NA	NA	NA	N
CAM046603	Brazilian_helicoverpa	2017	Brazil	Bahia	cotton	female	NA	Yes	0.05965002	0.074519034	adult	NA	NA	2796982576	93.49	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046604	Brazilian_helicoverpa	2017	Brazil	Bahia	cotton	male	NA	Yes	0.512227663	0.905926444	adult	NA	NA	3140261073	92.87	ZEA/ARM2	ZEA/ARM2	ZEA/ARM1	Y
